5: (x = 5, y = 1)
7: (x = 7, y = 1)
13: (x = 13, y = 1)
17: (x = 5, y = 2)
19: (x = 7, y = 2)
31: (x = 7, y = 3)
61: (x = 13, y = 5)
89: (x = 5, y = 8)
107: (x = 11, y = 9)
127: (x = 7, y = 11)
521: (x = 5, y = 44)
607: (x = 7, y = 51)
1279: (x = 7, y = 107)
2203: (x = 7, y = 184)
2281: (x = 13, y = 190)
3217: (x = 13, y = 268)
4253: (x = 5, y = 355)
4423: (x = 7, y = 369)
9689: (x = 5, y = 808)
9941: (x = 5, y = 829)
11213: (x = 5, y = 935)
19937: (x = 5, y = 1662)
21701: (x = 5, y = 1809)
23209: (x = 13, y = 1934)
44497: (x = 13, y = 3708)
86243: (x = 11, y = 7187)
110503: (x = 7, y = 9209)
132049: (x = 13, y = 11004)
216091: (x = 7, y = 18008)
756839: (x = 11, y = 63070)
859433: (x = 5, y = 71620)
1257787: (x = 7, y = 104816)
1398269: (x = 5, y = 116523)
2976221: (x = 5, y = 248019)
3021377: (x = 5, y = 251782)
6972593: (x = 5, y = 581050)
13466917: (x = 13, y = 1122243)
20996011: (x = 7, y = 1749668)
24036583: (x = 7, y = 2003049)
25964951: (x = 11, y = 2163746)
30402457: (x = 13, y = 2533538)
32582657: (x = 5, y = 2715222)
37156667: (x = 11, y = 3096389)
42643801: (x = 13, y = 3553650)
43112609: (x = 5, y = 3592718)
57885161: (x = 5, y = 4823764)
74207281: (x = 13, y = 6183940)
77232917: (x = 5, y = 6436077)
82589933: (x = 5, y = 6882495)
